pl_name,score_mean,score_std,rank_median,rank_p05,rank_p95,top10_probability
K2-279 b,0.5429999999999999,0.014014021035061369,135.0,125.0,146.0,0.0
Kepler-1130 b,0.5394,0.03302758912313418,136.0,126.0,147.0,0.0
TOI-2128 b,0.49360000000000004,0.07272976858533896,136.0,123.0,1452.0,0.0
Kepler-1130 c,0.54455,0.0040872866089433175,137.0,127.0,147.0,0.0
Kepler-1130 d,0.530525,0.051755619630400054,138.0,128.0,2283.05,0.0
Kepler-296 e,0.538765753990753,0.15311732385415885,138.5,3.0,2444.0,0.264
Kepler-1869 b,0.5357999999999999,0.03546654411558877,139.0,129.0,1407.2499999999998,0.0
TOI-1736 c,0.5292024370100927,0.06953884617336024,139.0,84.0,2391.0,0.0
Kepler-1869 c,0.5336,0.04340285261627926,140.0,130.0,1435.0,0.0
HD 4113 b,0.5412122842245276,0.0025065811320043323,143.0,133.0,176.0,0.0
GJ 1132 b,0.5375,0.0,143.0,134.0,153.0,0.0
GJ 1252 b,0.5414,0.01666870395030057,144.0,39.95,154.0,0.0
GJ 3473 b,0.5375,0.0,145.0,136.0,155.0,0.0
GJ 357 b,0.5375,0.0,146.0,137.0,156.0,0.0
Kepler-1994 b,0.46299999999999997,0.09846517547622166,146.0,132.0,2312.0,0.0
GJ 367 b,0.5387,0.009420057056615954,147.0,137.0,157.0,0.0
GJ 3929 b,0.5375,0.0,148.0,139.0,158.0,0.0
GJ 486 b,0.5375,0.0,149.5,140.0,159.0,0.0
GJ 806 b,0.5375,0.0,150.5,141.0,160.0,0.0
Gliese 12 b,0.5375,0.0,151.5,142.0,161.0,0.0
K2-415 b,0.5375,0.0,152.5,143.0,162.0,0.0
HD 183263 b,0.5193374238086694,0.06714773535350904,153.5,85.0,1866.8499999999992,0.0
Kepler-42 b,0.5136999999999999,0.0646677960633838,154.0,144.0,2302.05,0.0
Kepler-42 c,0.5083,0.07069197061490676,155.0,145.0,2298.0,0.0
Kepler-444 f,0.5384,0.005745085902234013,156.0,145.0,166.0,0.0
L 98-59 b,0.53945,0.011947090270516242,157.0,146.0,167.0,0.0
LHS 1815 b,0.5648,0.03612228729300735,159.0,41.0,172.0,0.0
L 98-59 c,0.5310499999999999,0.029772812105700822,159.0,147.0,897.05,0.0
Kepler-42 d,0.47109999999999996,0.09428052627807364,159.0,146.95,2314.0,0.0
